Company Name,CIK Number,Ticker Symbol,Options Volume,Filing Date,Exhibit 99.1 URL,Filing Accession Number,Claude Analysis
"NIKE, Inc.",320187,NKE,228638,2025-09-30,https://www.sec.gov/Archives/edgar/data/320187/000032018725000091/q1fy26exhibit991er.htm,000032018725000091,Not analyzed
"WOLFSPEED, INC.",895419,WOLF,149152,2025-09-30,https://www.sec.gov/Archives/edgar/data/895419/000119312525224251/d22768dex991.htm,000119312525224251,Not analyzed
CARNIVAL CORP,815097,CCL,63483,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002580/eh250684989_ex9901.htm,000095014225002580,Not analyzed
CARNIVAL CORP,815097,CCL,63483,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002569/eh250685002_ex9901.htm,000095014225002569,Not analyzed
D-Wave Quantum Inc.,1907982,QBTS,30293,2025-09-30,https://www.sec.gov/Archives/edgar/data/1907982/000190798225000214/exhibit991northwalespolice.htm,000190798225000214,Not analyzed
PROGRESS SOFTWARE CORP /MA,876167,PRGS,8625,2025-09-30,https://www.sec.gov/Archives/edgar/data/876167/000087616725000147/a3q25finalsupplementalde.htm,000087616725000147,Not analyzed
PAYCHEX INC,723531,PAYX,6903,2025-09-30,https://www.sec.gov/Archives/edgar/data/723531/000119312525224146/payx-ex99_1.htm,000119312525224146,Not analyzed
"Lamb Weston Holdings, Inc.",1679273,LW,6235,2025-09-30,https://www.sec.gov/Archives/edgar/data/1679273/000167927325000068/lw-20250824x8kxexx9911q26.htm,000167927325000068,Not analyzed
"Kodiak AI, Inc.",1853138,AACT,4172,2025-09-30,https://www.sec.gov/Archives/edgar/data/1853138/000119312525225299/d933659dex991.htm,000119312525225299,Not analyzed
Zeta Global Holdings Corp.,1851003,ZETA,4153,2025-09-30,https://www.sec.gov/Archives/edgar/data/1851003/000119312525225008/zeta-ex99_1.htm,000119312525225008,Not analyzed
UNITED NATURAL FOODS INC,1020859,UNFI,3643,2025-09-30,https://www.sec.gov/Archives/edgar/data/1020859/000102085925000050/f25q4earningsrelease.htm,000102085925000050,Not analyzed
"OCULAR THERAPEUTIX, INC",1393434,OCUL,3431,2025-09-30,https://www.sec.gov/Archives/edgar/data/1393434/000110465925094758/tm2527344d1_ex99-1.htm,000110465925094758,Not analyzed
MORGAN STANLEY,895421,MS,2953,2025-09-30,https://www.sec.gov/Archives/edgar/data/895421/000095010325012581/dp235215_ex9901.htm,000095010325012581,Not analyzed
"Unusual Machines, Inc.",1956955,UMAC,2269,2025-09-30,https://www.sec.gov/Archives/edgar/data/1956955/000168316825007320/0001683168-25-007320.txt,000168316825007320,Not analyzed
ETHZilla Corp,1690080,ETHZ,1256,2025-09-30,https://www.sec.gov/Archives/edgar/data/1690080/000121390025093411/ea025910501ex99-1_ethzilla.htm,000121390025093411,Not analyzed
FARADAY FUTURE INTELLIGENT ELECTRIC INC.,1805521,FFAI,1242,2025-09-30,https://www.sec.gov/Archives/edgar/data/1805521/000121390025093359/0001213900-25-093359.txt,000121390025093359,Not analyzed
Transocean Ltd.,1451505,RIG,816,2025-09-30,https://www.sec.gov/Archives/edgar/data/1451505/000145150525000106/rig-20250930xex99d1.htm,000145150525000106,Not analyzed
Matador Resources Co,1520006,MTDR,813,2025-09-30,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000210/a20250929mtdr8-kexhibit991.htm,000152000625000210,Not analyzed
CRH PUBLIC LTD CO,849395,CRH,772,2025-09-30,https://www.sec.gov/Archives/edgar/data/849395/000119312525224165/d941868dex991.htm,000119312525224165,Not analyzed
LAVA Therapeutics NV,1840748,LVTX,747,2025-09-30,https://www.sec.gov/Archives/edgar/data/1840748/000110465925094744/tm2526706d2_ex99-1.htm,000110465925094744,Not analyzed
OMNICOM GROUP INC.,29989,OMC,631,2025-09-30,https://www.sec.gov/Archives/edgar/data/29989/000121390025094068/ea025942501ex99-1_omnicom.htm,000121390025094068,Not analyzed
ADT Inc.,1703056,ADT,514,2025-09-30,https://www.sec.gov/Archives/edgar/data/1703056/000170305625000151/ex991-notesofferinglaunchp.htm,000170305625000151,Not analyzed
ADT Inc.,1703056,ADT,514,2025-09-30,https://www.sec.gov/Archives/edgar/data/1703056/000170305625000153/ex991-notesofferingpricing.htm,000170305625000153,Not analyzed
"INTERPUBLIC GROUP OF COMPANIES, INC.",51644,IPG,473,2025-09-30,https://www.sec.gov/Archives/edgar/data/51644/000119312525225276/d939100dex991.htm,000119312525225276,Not analyzed
"STARWOOD PROPERTY TRUST, INC.",1465128,STWD,391,2025-09-30,https://www.sec.gov/Archives/edgar/data/1465128/000110465925094644/tm2527453d1_ex99-1.htm,000110465925094644,Not analyzed
"Glimpse Group, Inc.",1854445,VRAR,391,2025-09-30,https://www.sec.gov/Archives/edgar/data/1854445/000149315225016192/ex99-1.htm,000149315225016192,Not analyzed
"Mirion Technologies, Inc.",1809987,MIR,292,2025-09-30,https://www.sec.gov/Archives/edgar/data/1809987/000162828025043231/exhibit991-8xk.htm,000162828025043231,Not analyzed
PRUDENTIAL FINANCIAL INC,1137774,PRU,291,2025-09-30,https://www.sec.gov/Archives/edgar/data/1137774/000119312525224191/d51813dex991.htm,000119312525224191,Not analyzed
PPL Corp,922224,PPL,232,2025-09-30,https://www.sec.gov/Archives/edgar/data/317187/000092222425000041/ppl-09302025exhibit991.htm,000092222425000041,Not analyzed
"LENZ Therapeutics, Inc.",1815776,LENZ,191,2025-09-30,https://www.sec.gov/Archives/edgar/data/1815776/000181577625000062/exhibit991-93025vizzavaila.htm,000181577625000062,Not analyzed
"ReposiTrak, Inc.",50471,TRAK,187,2025-09-30,https://www.sec.gov/Archives/edgar/data/50471/000143774925030128/ex_865467.htm,000143774925030128,Not analyzed
"Co-Diagnostics, Inc.",1692415,CODX,178,2025-09-30,https://www.sec.gov/Archives/edgar/data/1692415/000149315225016211/ex99-1.htm,000149315225016211,Not analyzed
NEWS CORP,1564708,NWSA,173,2025-09-30,https://www.sec.gov/Archives/edgar/data/1564708/000156470825000528/appendix3cclassa09292025.htm,000156470825000528,Not analyzed
ESSA Pharma Inc.,1633932,EPIX,144,2025-09-30,https://www.sec.gov/Archives/edgar/data/1633932/000110465925095056/tm2527481d1_ex99-1.htm,000110465925095056,Not analyzed
"Inmune Bio, Inc.",1711754,INMB,131,2025-09-30,https://www.sec.gov/Archives/edgar/data/1711754/000121390025093930/ea025853101ex99-1_inmune.htm,000121390025093930,Not analyzed
THUMZUP MEDIA Corp,1853825,TZUP,106,2025-09-30,https://www.sec.gov/Archives/edgar/data/1853825/000149315225016196/ex99-1.htm,000149315225016196,Not analyzed
AGCO CORP /DE,880266,AGCO,105,2025-09-30,https://www.sec.gov/Archives/edgar/data/880266/000088026625000056/agcoex-991.htm,000088026625000056,Not analyzed
MARINEMAX INC,1057060,HZO,95,2025-09-30,https://www.sec.gov/Archives/edgar/data/1057060/000119312525225289/hzo-ex99_1.htm,000119312525225289,Not analyzed
CARNIVAL PLC,1125259,CUK,84,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002580/eh250684989_ex9901.htm,000095014225002580,Not analyzed
CARNIVAL PLC,1125259,CUK,84,2025-09-30,https://www.sec.gov/Archives/edgar/data/815097/000095014225002569/eh250685002_ex9901.htm,000095014225002569,Not analyzed
COMMERCIAL METALS Co,22444,CMC,69,2025-09-30,https://www.sec.gov/Archives/edgar/data/22444/000119312525225109/d23307dex991.htm,000119312525225109,Not analyzed
BRANDYWINE REALTY TRUST,790816,BDN,60,2025-09-30,https://www.sec.gov/Archives/edgar/data/790816/000119312525224426/d63460dex991.htm,000119312525224426,Not analyzed
SOMNIGROUP INTERNATIONAL INC.,1206264,SGI,49,2025-09-30,https://www.sec.gov/Archives/edgar/data/1206264/000120626425000180/0001206264-25-000180.txt,000120626425000180,Not analyzed
IMPERIAL OIL LTD,49938,IMO,32,2025-09-30,https://www.sec.gov/Archives/edgar/data/49938/000004993825000061/a2025restructuring8-kex.htm,000004993825000061,Not analyzed
Beauty Health Co,1818093,SKIN,30,2025-09-30,https://www.sec.gov/Archives/edgar/data/1818093/000162828025043256/ex991-skinceopressreleased.htm,000162828025043256,Not analyzed
ADC Therapeutics SA,1771910,ADCT,22,2025-09-30,https://www.sec.gov/Archives/edgar/data/1771910/000095010325012514/dp235214_ex9901.htm,000095010325012514,Not analyzed
WaterBridge Infrastructure LLC,2064947,WBI,21,2025-09-30,https://www.sec.gov/Archives/edgar/data/2064947/000119312525225290/wbi-ex99_1.htm,000119312525225290,Not analyzed
KOPIN CORP,771266,KOPN,20,2025-09-30,https://www.sec.gov/Archives/edgar/data/771266/000149315225016294/ex99-1.htm,000149315225016294,Not analyzed
"NewtekOne, Inc.",1587987,NEWT,18,2025-09-30,https://www.sec.gov/Archives/edgar/data/1587987/000162828025043166/a3q25dividendannouncemen.htm,000162828025043166,Not analyzed
"NewtekOne, Inc.",1587987,NEWT,18,2025-09-30,https://www.sec.gov/Archives/edgar/data/1587987/000162828025043174/goldman_pr.htm,000162828025043174,Not analyzed
Metropolitan Bank Holding Corp.,1476034,MCB,14,2025-09-30,https://www.sec.gov/Archives/edgar/data/1476034/000110465925095122/tm2527603d1_ex99-1.htm,000110465925095122,Not analyzed
"ONE Gas, Inc.",1587732,OGS,14,2025-09-30,https://www.sec.gov/Archives/edgar/data/1587732/000158773225000051/ogsq32025ecnr.htm,000158773225000051,Not analyzed
"TRINET GROUP, INC.",937098,TNET,11,2025-09-30,https://www.sec.gov/Archives/edgar/data/937098/000093709825000166/exhibit991directors.htm,000093709825000166,Not analyzed
FutureFuel Corp.,1337298,FF,8,2025-09-30,https://www.sec.gov/Archives/edgar/data/1337298/000143774925030059/ex_865160.htm,000143774925030059,Not analyzed
"CAVCO INDUSTRIES, INC.",278166,CVCO,7,2025-09-30,https://www.sec.gov/Archives/edgar/data/278166/000162828025043146/cvco-20250930xex991homesta.htm,000162828025043146,Not analyzed
"CIVISTA BANCSHARES, INC.",944745,CIVB,5,2025-09-30,https://www.sec.gov/Archives/edgar/data/944745/000119312525225211/civb-ex99_1.htm,000119312525225211,Not analyzed
"BIO-RAD LABORATORIES, INC.",12208,BIO,4,2025-09-30,https://www.sec.gov/Archives/edgar/data/12208/000001220825000057/bio-8k09302025xex991.htm,000001220825000057,Not analyzed
"Opus Genetics, Inc.",1228627,IRD,4,2025-09-30,https://www.sec.gov/Archives/edgar/data/1228627/000114036125036637/ef20056246_ex99-1.htm,000114036125036637,Not analyzed
HANMI FINANCIAL CORP,1109242,HAFC,2,2025-09-30,https://www.sec.gov/Archives/edgar/data/1109242/000117184325006186/0001171843-25-006186.txt,000117184325006186,Not analyzed
Civeo Corp,1590584,CVEO,1,2025-09-30,https://www.sec.gov/Archives/edgar/data/1590584/000159058425000126/draftcveonewirpresentati.htm,000159058425000126,Not analyzed
"BRANDYWINE OPERATING PARTNERSHIP, L.P.",1060386,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/790816/000119312525224426/d63460dex991.htm,000119312525224426,Not analyzed
Veradigm Inc.,1124804,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1124804/000119312525225033/mdrx-ex99_1.htm,000119312525225033,Not analyzed
Worksport Ltd,1096275,WKSP,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1096275/000149315225016187/ex99-1.htm,000149315225016187,Not analyzed
Federal Home Loan Bank of Des Moines,1325814,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1325814/000132581425000186/tsy093025ex991.htm,000132581425000186,Not analyzed
Federal Home Loan Bank of New York,1329842,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1329842/000165495425011243/0001654954-25-011243.txt,000165495425011243,Not analyzed
Federal Home Loan Bank of Pittsburgh,1330399,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1330399/000119312525224272/ck0001330399-ex99_1.htm,000119312525224272,Not analyzed
Energy Services of America CORP,1357971,ESOA,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1357971/000110465925095058/tm2527403d1_ex99-1.htm,000110465925095058,Not analyzed
Artificial Intelligence Technology Solutions Inc.,1498148,AITX,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1498148/000106299325015853/exhibit99-1.htm,000106299325015853,Not analyzed
Lipocine Inc.,1535955,LPCN,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1535955/000149315225016210/ex99-1.htm,000149315225016210,Not analyzed
"MacKenzie Realty Capital, Inc.",1550913,MKZR,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1550913/000155091325000157/0001550913-25-000157.txt,000155091325000157,Not analyzed
"HINES GLOBAL INCOME TRUST, INC.",1585101,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1585101/000162828025043228/hgit2025shareholderprese.htm,000162828025043228,Not analyzed
BayFirst Financial Corp.,1649739,BAFN,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1649739/000164973925000243/bayfirstq32025earningscall.htm,000164973925000243,Not analyzed
"bioAffinity Technologies, Inc.",1712762,BIAF,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1712762/000149315225016366/ex99-1.htm,000149315225016366,Not analyzed
"DUKE ENERGY PROGRESS, LLC.",17797,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/17797/000110465925095133/tm2521132d14_ex99-1.htm,000110465925095133,Not analyzed
"Phoenix Energy One, LLC",1818643,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1818643/000119312525225084/d91166dex991.htm,000119312525225084,Not analyzed
Barinthus Biotherapeutics plc.,1828185,BRNS,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1828185/000110465925094754/tm2527141d1_ex99-1.htm,000110465925094754,Not analyzed
"MAIA Biotechnology, Inc.",1878313,MAIA,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1878313/000149315225016200/ex99-1.htm,000149315225016200,Not analyzed
"ConnectM Technology Solutions, Inc.",1895249,CNTM,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1895249/000110465925095098/tm2527654d1_ex99-1.htm,000110465925095098,Not analyzed
"AtlasClear Holdings, Inc.",1963088,ATCH,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1963088/000110465925094601/tm2527466d1_ex99-1.htm,000110465925094601,Not analyzed
enGene Holdings Inc.,1980845,ENGN,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1980845/000119312525224053/engn-ex99_1.htm,000119312525224053,Not analyzed
Tamboran Resources Corp,1997652,TBN,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/1997652/000162828025043169/ex991250930tbntoacquiref.htm,000162828025043169,Not analyzed
Silexion Therapeutics Corp,2022416,SLXN,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/2022416/000117891325003444/exhibit_99-1.htm,000117891325003444,Not analyzed
BMO 2025-C13 Mortgage Trust,2061838,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/2061838/000153949725002567/exh99_2-bsprtmlpa.htm,000153949725002567,Not analyzed
Highview Merger Corp.,2070602,HVMC,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/2070602/000118518525001310/hvmcex99-1.htm,000118518525001310,Not analyzed
"Seneca Bancorp, Inc.",2072421,SNNF,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/2072421/000094337425000425/ex99-1.htm,000094337425000425,Not analyzed
Duke Energy Progress NC Storm Funding II LLC,2078088,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/17797/000110465925095133/tm2521132d14_ex99-1.htm,000110465925095133,Not analyzed
Duke Energy Carolinas NC Storm Funding II LLC,2078092,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/30371/000110465925095126/tm2521130d14_ex99-1.htm,000110465925095126,Not analyzed
BANK5 2025-5YR17,2084969,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/2084969/000153949725002556/exh99_2-msmch.htm,000153949725002556,Not analyzed
"Duke Energy Carolinas, LLC",30371,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/30371/000110465925095126/tm2521130d14_ex99-1.htm,000110465925095126,Not analyzed
PPL ELECTRIC UTILITIES CORP,317187,N/A,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/317187/000092222425000041/ppl-09302025exhibit991.htm,000092222425000041,Not analyzed
"Soluna Holdings, Inc",64463,SLNH,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/64463/000149315225016179/ex99-1.htm,000149315225016179,Not analyzed
CAMDEN NATIONAL CORP,750686,CAC,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/750686/000075068625000292/exhibit991pressrelease0930.htm,000075068625000292,Not analyzed
IMMUCELL CORP /DE/,811641,ICCC,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/811641/000143774925030110/ex_857800.htm,000143774925030110,Not analyzed
"GeoVax Labs, Inc.",832489,GOVX,0,2025-09-30,https://www.sec.gov/Archives/edgar/data/832489/000143774925030125/ex_865351.htm,000143774925030125,Not analyzed
